,r_copper_lag,dDemand,dInventory,ConvYield,dIP,Spread,dBDI,VIX,TED,dSPX,dGold,dWTI,dCLP,dAUD,dAlcoa,dRio,dFCX,dBHP
r_copper_lag,1.0,0.146,-0.273,0.054,0.136,-0.025,0.113,-0.22,-0.172,0.218,0.176,0.292,0.322,0.325,0.329,0.372,0.369,0.245
dDemand,0.146,1.0,-0.414,-0.027,-0.032,0.038,0.12,-0.036,-0.039,0.065,0.062,0.073,-0.038,0.114,0.072,0.098,0.112,0.041
dInventory,-0.273,-0.414,1.0,0.017,-0.093,-0.056,0.007,0.108,0.087,-0.13,-0.01,-0.074,-0.081,-0.165,-0.161,-0.133,-0.198,-0.118
ConvYield,0.054,-0.027,0.017,1.0,0.03,-0.661,-0.036,-0.183,0.08,-0.003,0.055,-0.003,-0.007,-0.053,-0.021,0.047,-0.01,0.071
dIP,0.136,-0.032,-0.093,0.03,1.0,-0.013,0.189,-0.17,-0.19,-0.016,-0.062,0.14,0.002,-0.005,0.031,0.046,-0.013,-0.026
Spread,-0.025,0.038,-0.056,-0.661,-0.013,1.0,-0.018,0.299,0.114,-0.082,-0.023,0.005,0.028,0.067,-0.056,-0.058,-0.017,-0.061
dBDI,0.113,0.12,0.007,-0.036,0.189,-0.018,1.0,0.007,-0.089,0.013,0.014,0.102,0.063,0.125,0.051,0.109,0.146,0.037
VIX,-0.22,-0.036,0.108,-0.183,-0.17,0.299,0.007,1.0,0.309,-0.418,-0.004,-0.173,-0.17,-0.166,-0.241,-0.179,-0.156,-0.168
TED,-0.172,-0.039,0.087,0.08,-0.19,0.114,-0.089,0.309,1.0,-0.143,0.039,-0.101,-0.093,-0.087,-0.099,-0.084,-0.108,-0.047
dSPX,0.218,0.065,-0.13,-0.003,-0.016,-0.082,0.013,-0.418,-0.143,1.0,0.057,0.275,0.411,0.562,0.613,0.494,0.508,0.413
dGold,0.176,0.062,-0.01,0.055,-0.062,-0.023,0.014,-0.004,0.039,0.057,1.0,0.124,0.344,0.399,0.123,0.216,0.281,0.191
dWTI,0.292,0.073,-0.074,-0.003,0.14,0.005,0.102,-0.173,-0.101,0.275,0.124,1.0,0.197,0.348,0.32,0.36,0.39,0.34
dCLP,0.322,-0.038,-0.081,-0.007,0.002,0.028,0.063,-0.17,-0.093,0.411,0.344,0.197,1.0,0.572,0.396,0.436,0.442,0.32
dAUD,0.325,0.114,-0.165,-0.053,-0.005,0.067,0.125,-0.166,-0.087,0.562,0.399,0.348,0.572,1.0,0.536,0.582,0.598,0.393
dAlcoa,0.329,0.072,-0.161,-0.021,0.031,-0.056,0.051,-0.241,-0.099,0.613,0.123,0.32,0.396,0.536,1.0,0.56,0.635,0.491
dRio,0.372,0.098,-0.133,0.047,0.046,-0.058,0.109,-0.179,-0.084,0.494,0.216,0.36,0.436,0.582,0.56,1.0,0.654,0.677
dFCX,0.369,0.112,-0.198,-0.01,-0.013,-0.017,0.146,-0.156,-0.108,0.508,0.281,0.39,0.442,0.598,0.635,0.654,1.0,0.594
dBHP,0.245,0.041,-0.118,0.071,-0.026,-0.061,0.037,-0.168,-0.047,0.413,0.191,0.34,0.32,0.393,0.491,0.677,0.594,1.0
