Omega,omega_value,Model,MSFE,R2_oos (%),CW-stat,p-value,dR2 vs baseline (pp),max |fc - baseline fc|
full,1.6428,DMA,23.427,30.16,3.125,0.0009,0.0,0.0
full,1.6428,DMS,24.906,25.76,3.09,0.001,0.0,0.0
full,1.6428,Ridge,23.647,29.51,2.985,0.0014,0.0,0.0
full,1.6428,ElasticNet,23.816,29.01,3.208,0.0007,0.0,0.0
insample,1.6434,DMA,23.427,30.17,3.125,0.0009,0.01,0.0030322055647377666
insample,1.6434,DMS,24.907,25.75,3.09,0.001,-0.01,0.010263229615688152
insample,1.6434,Ridge,23.647,29.51,2.985,0.0014,0.0,6.269078828147201e-05
insample,1.6434,ElasticNet,23.816,29.01,3.208,0.0007,0.0,6.63781651641937e-05
recursive,expanding,DMA,23.429,30.16,3.125,0.0009,0.0,0.01208981517103469
recursive,expanding,DMS,24.987,25.51,3.088,0.001,-0.25,1.648068578685364
recursive,expanding,Ridge,23.597,29.66,2.983,0.0014,0.15,0.6300883736704517
recursive,expanding,ElasticNet,23.833,28.95,3.215,0.0007,-0.06,0.19842746309076098
