Model,max_depth,min_samples_leaf,n_estimators,learning_rate,R2_oos (%)
RandomForest,2,2,200,,22.09
RandomForest,2,5,200,,21.24
RandomForest,2,20,200,,17.98
RandomForest,4,2,200,,23.34
RandomForest,4,5,200,,21.23
RandomForest,4,20,200,,17.09
RandomForest,6,2,200,,20.81
RandomForest,6,5,200,,19.81
RandomForest,6,20,200,,17.0
RandomForest,None,2,200,,19.6
RandomForest,None,5,200,,19.19
RandomForest,None,20,200,,17.0
XGBoost,2,,25,0.05,18.65
XGBoost,3,,25,0.05,18.54
XGBoost,4,,25,0.05,17.41
XGBoost,2,,50,0.05,21.91
XGBoost,3,,50,0.05,19.13
XGBoost,4,,50,0.05,18.22
XGBoost,2,,100,0.05,17.47
XGBoost,3,,100,0.05,13.6
XGBoost,4,,100,0.05,14.06
XGBoost,2,,200,0.05,11.78
XGBoost,3,,200,0.05,10.12
XGBoost,4,,200,0.05,10.42
XGBoost,2,,400,0.05,6.07
XGBoost,3,,400,0.05,6.11
XGBoost,4,,400,0.05,8.53
XGBoost,2,,800,0.05,0.2
XGBoost,3,,800,0.05,4.52
XGBoost,4,,800,0.05,8.03
XGBoost,3,,25,0.01,6.75
XGBoost,3,,25,0.1,18.17
XGBoost,3,,50,0.01,12.44
XGBoost,3,,50,0.1,13.49
XGBoost,3,,100,0.01,17.62
XGBoost,3,,100,0.1,7.11
XGBoost,3,,200,0.01,19.38
XGBoost,3,,200,0.1,3.01
XGBoost,3,,400,0.01,16.56
XGBoost,3,,400,0.1,1.77
XGBoost,3,,800,0.01,11.92
XGBoost,3,,800,0.1,1.61
