Variable,Mean,Median,Std Dev,Skewness,Kurtosis,Min,Max
Copper return r_t (%),0.7849,0.5305,5.8879,-0.1235,4.5524,-30.3639,25.6435
Lagged return r_{t-1} (%),0.7788,0.5305,5.8895,-0.1205,4.5436,-30.3639,25.6435
Δ Demand (mt),13.6845,-2195.8387,99383.8848,0.003,0.4914,-380125.0455,297888.587
Δ Inventories (mt),-468.3482,-3117.3913,38314.8223,0.4494,1.0168,-108874.4048,155576.461
Convenience yield,0.4118,0.4052,0.0202,0.4331,-1.4111,0.3894,0.4535
Δ Industrial production (%),0.0634,0.1,1.0951,-5.0357,68.5155,-13.1878,6.553
Term spread (10Y–3M),0.0098,0.0047,0.0191,0.2315,-1.2726,-0.0234,0.0462
Δ Baltic Dry Index (%),2.4797,1.2211,22.2252,1.3402,6.2791,-63.6686,133.6297
VIX (level),20.1808,18.4119,7.8887,1.953,6.2491,10.1255,62.6689
TED spread (reconstructed),0.0037,0.0028,0.0046,1.2798,11.368,-0.015,0.0362
Δ S&P 500 (%),0.6406,1.2211,3.727,-1.3348,5.3521,-20.5901,12.0729
Δ Gold (%),0.9124,0.4322,3.744,0.3621,1.001,-11.7011,16.8968
Δ WTI crude oil (%),0.8974,1.5555,9.8051,0.4918,9.4299,-42.3565,71.0413
Δ CLP (% appreciation),-0.1945,-0.1066,2.6675,-0.6783,3.2691,-15.9275,7.5227
Δ AUD (%),0.0503,0.163,2.6736,-0.7146,3.54,-16.0282,7.2442
Δ Alcoa (%),0.8076,0.2701,10.9026,0.0566,3.0516,-50.189,43.1247
Δ Rio Tinto (%),1.3783,2.031,8.0894,-0.9877,4.2887,-43.8624,24.9166
Δ Freeport-McMoRan (%),1.3642,1.4957,11.8717,-0.0579,2.3596,-48.7015,59.4969
Δ BHP Billiton (%),0.883,1.1662,5.9347,-0.3803,1.5212,-22.5684,19.8857
