Model,MSFE,Rel. MSFE,R²_oos (%),CW-stat,p-value
Random Walk (RW),33.5463,1.0,—,—,—
HA (expanding),33.985,1.0131,-1.3077,0.3611,0.359
TVP,27.6911,0.8255,17.4542,2.7666,0.0028
DMS,25.0175,0.7458,25.4238,3.0822,0.001
DMA,23.4534,0.6991,30.0864,3.1321,0.0009
OLS,27.7732,0.8279,17.2093,3.3996,0.0003
Ridge,23.6209,0.7041,29.5871,2.9857,0.0014
LASSO,24.7089,0.7366,26.3439,3.3355,0.0004
ElasticNet,23.8201,0.7101,28.9935,3.2201,0.0006
BayesianRidge,24.4622,0.7292,27.0792,3.0939,0.001
RandomForest,26.4121,0.7873,21.2666,4.6091,0.0
XGBoost,28.8424,0.8598,14.0221,3.7134,0.0001
PIP_ElasticNet,23.6997,0.7065,29.3523,3.3339,0.0004
Stacking,25.4443,0.7585,24.1517,2.9646,0.0015
Combo_DMA_EN,23.1046,0.6887,31.1262,3.2111,0.0007
