Predictor,DMA Mean PIP,RF Importance,XGB Importance,Mean Importance
dFCX,0.5966,0.1953,0.1226,0.159
dRio,0.5546,0.206,0.127,0.1665
dCLP,0.5222,0.0585,0.0591,0.0588
r_copper_lag,0.5109,0.0921,0.0457,0.0689
TED,0.4991,0.021,0.0625,0.0418
Spread,0.495,0.0667,0.047,0.0568
dWTI,0.483,0.0343,0.0539,0.0441
ConvYield,0.4731,0.0188,0.0355,0.0272
dAlcoa,0.4643,0.0314,0.054,0.0427
VIX,0.4429,0.022,0.0489,0.0354
dSPX,0.4332,0.0128,0.0299,0.0214
dAUD,0.4269,0.0511,0.0531,0.0521
dGold,0.4224,0.0186,0.0317,0.0252
dBHP,0.4197,0.0667,0.0761,0.0714
dIP,0.4187,0.0233,0.0361,0.0297
dInventory,0.4151,0.0337,0.0371,0.0354
dBDI,0.4084,0.0256,0.0499,0.0378
dDemand,0.3908,0.0221,0.0299,0.026
