Model A,Model B,Mean loss diff (A-B),HLN stat,p-value,Lower MSFE,Significant 5%
DMA,DMS,-1.47868,-0.901,0.3686,DMA,no
DMA,OLS,-4.10587,-2.3496,0.0197,DMA,yes
DMA,Ridge,-0.21997,-0.1708,0.8645,DMA,no
DMA,ElasticNet,-0.38844,-0.293,0.7698,DMA,no
DMA,RandomForest,-2.99778,-1.2661,0.2068,DMA,no
DMA,XGBoost,-5.91152,-2.4999,0.0132,DMA,yes
DMA,MLP,-3.1669,-1.9137,0.057,DMA,no
DMS,OLS,-2.62719,-1.286,0.1998,DMS,no
DMS,Ridge,1.25871,0.6314,0.5285,Ridge,no
DMS,ElasticNet,1.09024,0.5198,0.6038,ElasticNet,no
DMS,RandomForest,-1.5191,-0.4896,0.6249,DMS,no
DMS,XGBoost,-4.43284,-1.2855,0.2,DMS,no
DMS,MLP,-1.68822,-1.0105,0.3134,DMS,no
OLS,Ridge,3.88589,3.4511,0.0007,Ridge,yes
OLS,ElasticNet,3.71743,2.595,0.0101,ElasticNet,yes
OLS,RandomForest,1.10808,0.3591,0.7199,RandomForest,no
OLS,XGBoost,-1.80566,-0.614,0.5399,OLS,no
OLS,MLP,0.93896,0.5531,0.5808,MLP,no
Ridge,ElasticNet,-0.16846,-0.3679,0.7133,Ridge,no
Ridge,RandomForest,-2.77781,-1.1415,0.2549,Ridge,no
Ridge,XGBoost,-5.69155,-2.385,0.0179,Ridge,yes
Ridge,MLP,-2.94693,-1.9745,0.0496,Ridge,yes
ElasticNet,RandomForest,-2.60935,-1.2562,0.2104,ElasticNet,no
ElasticNet,XGBoost,-5.52308,-2.6091,0.0097,ElasticNet,yes
ElasticNet,MLP,-2.77847,-1.7408,0.0831,ElasticNet,no
RandomForest,XGBoost,-2.91374,-1.8582,0.0645,RandomForest,no
RandomForest,MLP,-0.16912,-0.0598,0.9524,RandomForest,no
XGBoost,MLP,2.74462,0.8945,0.3721,MLP,no
